0 <= x < 18870; y = 37.209311 + 0.012462x; least-squares 
2430 <= x < 2460; 	 y_81 =  -1306.0000 + 0.5667x		interpolation 
2460 <= x < 2490; 	 y_82 =  170.0000 + -0.0333x		interpolation 
2490 <= x < 2520; 	 y_83 =  170.0000 + -0.0333x		interpolation 
2520 <= x < 2550; 	 y_84 =  338.0000 + -0.1000x		interpolation 
2550 <= x < 2580; 	 y_85 =  -172.0000 + 0.1000x		interpolation 
2580 <= x < 2610; 	 y_86 =  1376.0000 + -0.5000x		interpolation 
2610 <= x < 2640; 	 y_87 =  -1321.0000 + 0.5333x		interpolation 
2640 <= x < 2670; 	 y_88 =  527.0000 + -0.1667x		interpolation 
2670 <= x < 2700; 	 y_89 =  -452.0000 + 0.2000x		interpolation 
2700 <= x < 2730; 	 y_90 =  448.0000 + -0.1333x		interpolation 
2730 <= x < 2760; 	 y_91 =  1540.0000 + -0.5333x		interpolation 
2760 <= x < 2790; 	 y_92 =  -1588.0000 + 0.6000x		interpolation 
2790 <= x < 2820; 	 y_93 =  1760.0000 + -0.6000x		interpolation 
2820 <= x < 2850; 	 y_94 =  -1718.0000 + 0.6333x		interpolation 
2850 <= x < 2880; 	 y_95 =  1797.0000 + -0.6000x		interpolation 
2880 <= x < 2910; 	 y_96 =  -27.0000 + 0.0333x		interpolation 
2910 <= x < 2940; 	 y_97 =  167.0000 + -0.0333x		interpolation 
2940 <= x < 2970; 	 y_98 =  -29.0000 + 0.0333x		interpolation 
2970 <= x < 3000; 	 y_99 =  -1514.0000 + 0.5333x		interpolation 
3000 <= x < 3030; 	 y_100 =  1786.0000 + -0.5667x		interpolation 
3030 <= x < 3060; 	 y_101 =  -941.0000 + 0.3333x		interpolation 
3060 <= x < 3090; 	 y_102 =  997.0000 + -0.3000x		interpolation 
3090 <= x < 3120; 	 y_103 =  -2093.0000 + 0.7000x		interpolation 
3120 <= x < 3150; 	 y_104 =  923.0000 + -0.2667x		interpolation 
3150 <= x < 3180; 	 y_105 =  1448.0000 + -0.4333x		interpolation 
3180 <= x < 3210; 	 y_106 =  -36.0000 + 0.0333x		interpolation 
3210 <= x < 3240; 	 y_107 =  927.0000 + -0.2667x		interpolation 
3240 <= x < 3270; 	 y_108 =  -909.0000 + 0.3000x		interpolation 
3270 <= x < 3300; 	 y_109 =  -909.0000 + 0.3000x		interpolation 
3300 <= x < 3330; 	 y_110 =  -799.0000 + 0.2667x		interpolation 
3330 <= x < 3360; 	 y_111 =  2309.0000 + -0.6667x		interpolation 
3360 <= x < 3390; 	 y_112 =  -1835.0000 + 0.5667x		interpolation 
3390 <= x < 3420; 	 y_113 =  -140.0000 + 0.0667x		interpolation 
3420 <= x < 3450; 	 y_114 =  316.0000 + -0.0667x		interpolation 
3450 <= x < 3480; 	 y_115 =  2271.0000 + -0.6333x		interpolation 
3480 <= x < 3510; 	 y_116 =  -397.0000 + 0.1333x		interpolation 
3510 <= x < 3540; 	 y_117 =  188.0000 + -0.0333x		interpolation 
3540 <= x < 3570; 	 y_118 =  70.0000 + 0.0000x		interpolation 
3570 <= x < 3600; 	 y_119 =  427.0000 + -0.1000x		interpolation 
3600 <= x < 3630; 	 y_120 =  -413.0000 + 0.1333x		interpolation 
3630 <= x < 3660; 	 y_121 =  -1381.0000 + 0.4000x		interpolation 
3660 <= x < 3690; 	 y_122 =  1425.0000 + -0.3667x		interpolation 
3690 <= x < 3720; 	 y_123 =  441.0000 + -0.1000x		interpolation 
3720 <= x < 3750; 	 y_124 =  -55.0000 + 0.0333x		interpolation 
3750 <= x < 3780; 	 y_125 =  -2180.0000 + 0.6000x		interpolation 
3780 <= x < 3810; 	 y_126 =  2230.0000 + -0.5667x		interpolation 
3810 <= x < 3840; 	 y_127 =  325.0000 + -0.0667x		interpolation 
3840 <= x < 3870; 	 y_128 =  -315.0000 + 0.1000x		interpolation 
3870 <= x < 3900; 	 y_129 =  -2379.0000 + 0.6333x		interpolation 
3900 <= x < 3930; 	 y_130 =  611.0000 + -0.1333x		interpolation 
3930 <= x < 3960; 	 y_131 =  2707.0000 + -0.6667x		interpolation 
3960 <= x < 3990; 	 y_132 =  -461.0000 + 0.1333x		interpolation 
3990 <= x < 4020; 	 y_133 =  -2190.0000 + 0.5667x		interpolation 
4020 <= x < 4050; 	 y_134 =  1964.0000 + -0.4667x		interpolation 
4050 <= x < 4080; 	 y_135 =  479.0000 + -0.1000x		interpolation 
4080 <= x < 4110; 	 y_136 =  -65.0000 + 0.0333x		interpolation 
4110 <= x < 4140; 	 y_137 =  483.0000 + -0.1000x		interpolation 
4140 <= x < 4170; 	 y_138 =  -1173.0000 + 0.3000x		interpolation 
4170 <= x < 4200; 	 y_139 =  -1451.0000 + 0.3667x		interpolation 
4200 <= x < 4230; 	 y_140 =  2749.0000 + -0.6333x		interpolation 
4230 <= x < 4260; 	 y_141 =  211.0000 + -0.0333x		interpolation 
4260 <= x < 4290; 	 y_142 =  -1635.0000 + 0.4000x		interpolation 
4290 <= x < 4320; 	 y_143 =  -1206.0000 + 0.3000x		interpolation 
4320 <= x < 4350; 	 y_144 =  810.0000 + -0.1667x		interpolation 
4350 <= x < 4380; 	 y_145 =  2260.0000 + -0.5000x		interpolation 
4380 <= x < 4410; 	 y_146 =  -806.0000 + 0.2000x		interpolation 
4410 <= x < 4440; 	 y_147 =  -1247.0000 + 0.3000x		interpolation 
4440 <= x < 4470; 	 y_148 =  3193.0000 + -0.7000x		interpolation 
4470 <= x < 4500; 	 y_149 =  -3363.0000 + 0.7667x		interpolation 
4500 <= x < 4530; 	 y_150 =  2937.0000 + -0.6333x		interpolation 
4530 <= x < 4560; 	 y_151 =  -687.0000 + 0.1667x		interpolation 
4560 <= x < 4590; 	 y_152 =  -2511.0000 + 0.5667x		interpolation 
4590 <= x < 4620; 	 y_153 =  3456.0000 + -0.7333x		interpolation 
4620 <= x < 4650; 	 y_154 =  -240.0000 + 0.0667x		interpolation 
4650 <= x < 4680; 	 y_155 =  -85.0000 + 0.0333x		interpolation 
4680 <= x < 4710; 	 y_156 =  -241.0000 + 0.0667x		interpolation 
4710 <= x < 4740; 	 y_157 =  701.0000 + -0.1333x		interpolation 
4740 <= x < 4770; 	 y_158 =  -2933.0000 + 0.6333x		interpolation 
4770 <= x < 4800; 	 y_159 =  2632.0000 + -0.5333x		interpolation 
4800 <= x < 4830; 	 y_160 =  -408.0000 + 0.1000x		interpolation 
4830 <= x < 4860; 	 y_161 =  -2662.0000 + 0.5667x		interpolation 
4860 <= x < 4890; 	 y_162 =  3494.0000 + -0.7000x		interpolation 
4890 <= x < 4920; 	 y_163 =  -2700.0000 + 0.5667x		interpolation 
4920 <= x < 4950; 	 y_164 =  88.0000 + 0.0000x		interpolation 
4950 <= x < 4980; 	 y_165 =  2893.0000 + -0.5667x		interpolation 
4980 <= x < 5010; 	 y_166 =  569.0000 + -0.1000x		interpolation 
5010 <= x < 5040; 	 y_167 =  -3940.0000 + 0.8000x		interpolation 
5040 <= x < 5070; 	 y_168 =  3284.0000 + -0.6333x		interpolation 
5070 <= x < 5100; 	 y_169 =  -2969.0000 + 0.6000x		interpolation 
5100 <= x < 5130; 	 y_170 =  261.0000 + -0.0333x		interpolation 
5130 <= x < 5160; 	 y_171 =  3339.0000 + -0.6333x		interpolation 
5160 <= x < 5190; 	 y_172 =  -273.0000 + 0.0667x		interpolation 
5190 <= x < 5220; 	 y_173 =  -3214.0000 + 0.6333x		interpolation 
5220 <= x < 5250; 	 y_174 =  962.0000 + -0.1667x		interpolation 
5250 <= x < 5280; 	 y_175 =  3412.0000 + -0.6333x		interpolation 
5280 <= x < 5310; 	 y_176 =  -460.0000 + 0.1000x		interpolation 
5310 <= x < 5340; 	 y_177 =  -3115.0000 + 0.6000x		interpolation 
5340 <= x < 5370; 	 y_178 =  801.0000 + -0.1333x		interpolation 
5370 <= x < 5400; 	 y_179 =  2770.0000 + -0.5000x		interpolation 
5400 <= x < 5430; 	 y_180 =  -290.0000 + 0.0667x		interpolation 
5430 <= x < 5460; 	 y_181 =  -2824.0000 + 0.5333x		interpolation 
5460 <= x < 5490; 	 y_182 =  -458.0000 + 0.1000x		interpolation 
5490 <= x < 5520; 	 y_183 =  3385.0000 + -0.6000x		interpolation 
5520 <= x < 5550; 	 y_184 =  257.0000 + -0.0333x		interpolation 
5550 <= x < 5580; 	 y_185 =  -2888.0000 + 0.5333x		interpolation 
5580 <= x < 5610; 	 y_186 =  2506.0000 + -0.4333x		interpolation 
5610 <= x < 5640; 	 y_187 =  -2356.0000 + 0.4333x		interpolation 
5640 <= x < 5670; 	 y_188 =  2720.0000 + -0.4667x		interpolation 
5670 <= x < 5700; 	 y_189 =  -3139.0000 + 0.5667x		interpolation 
5700 <= x < 5730; 	 y_190 =  1421.0000 + -0.2333x		interpolation 
5730 <= x < 5760; 	 y_191 =  2567.0000 + -0.4333x		interpolation 
5760 <= x < 5790; 	 y_192 =  -889.0000 + 0.1667x		interpolation 
5790 <= x < 5820; 	 y_193 =  -1275.0000 + 0.2333x		interpolation 
5820 <= x < 5850; 	 y_194 =  1829.0000 + -0.3000x		interpolation 
5850 <= x < 5880; 	 y_195 =  -2851.0000 + 0.5000x		interpolation 
5880 <= x < 5910; 	 y_196 =  873.0000 + -0.1333x		interpolation 
5910 <= x < 5940; 	 y_197 =  2843.0000 + -0.4667x		interpolation 
5940 <= x < 5970; 	 y_198 =  -721.0000 + 0.1333x		interpolation 
5970 <= x < 6000; 	 y_199 =  -2910.0000 + 0.5000x		interpolation 
6000 <= x < 6030; 	 y_200 =  1890.0000 + -0.3000x		interpolation 
6030 <= x < 6060; 	 y_201 =  1890.0000 + -0.3000x		interpolation 
6060 <= x < 6090; 	 y_202 =  -2958.0000 + 0.5000x		interpolation 
6090 <= x < 6120; 	 y_203 =  -319.0000 + 0.0667x		interpolation 
6120 <= x < 6150; 	 y_204 =  3149.0000 + -0.5000x		interpolation 
6150 <= x < 6180; 	 y_205 =  484.0000 + -0.0667x		interpolation 
6180 <= x < 6210; 	 y_206 =  1514.0000 + -0.2333x		interpolation 
6210 <= x < 6240; 	 y_207 =  -5110.0000 + 0.8333x		interpolation 
6240 <= x < 6270; 	 y_208 =  1962.0000 + -0.3000x		interpolation 
6270 <= x < 6300; 	 y_209 =  3216.0000 + -0.5000x		interpolation 
6300 <= x < 6330; 	 y_210 =  -1614.0000 + 0.2667x		interpolation 
6330 <= x < 6360; 	 y_211 =  496.0000 + -0.0667x		interpolation 
6360 <= x < 6390; 	 y_212 =  -140.0000 + 0.0333x		interpolation 
6390 <= x < 6420; 	 y_213 =  -2270.0000 + 0.3667x		interpolation 
6420 <= x < 6450; 	 y_214 =  2010.0000 + -0.3000x		interpolation 
6450 <= x < 6480; 	 y_215 =  -2935.0000 + 0.4667x		interpolation 
6480 <= x < 6510; 	 y_216 =  953.0000 + -0.1333x		interpolation 
6510 <= x < 6540; 	 y_217 =  3123.0000 + -0.4667x		interpolation 
6540 <= x < 6570; 	 y_218 =  -801.0000 + 0.1333x		interpolation 
6570 <= x < 6600; 	 y_219 =  732.0000 + -0.1000x		interpolation 
6600 <= x < 6630; 	 y_220 =  -1468.0000 + 0.2333x		interpolation 
6630 <= x < 6660; 	 y_221 =  -1026.0000 + 0.1667x		interpolation 
6660 <= x < 6690; 	 y_222 =  972.0000 + -0.1333x		interpolation 
6690 <= x < 6720; 	 y_223 =  2087.0000 + -0.3000x		interpolation 
6720 <= x < 6750; 	 y_224 =  -1049.0000 + 0.1667x		interpolation 
6750 <= x < 6780; 	 y_225 =  -2399.0000 + 0.3667x		interpolation 
6780 <= x < 6810; 	 y_226 =  1669.0000 + -0.2333x		interpolation 
6810 <= x < 6840; 	 y_227 =  -2417.0000 + 0.3667x		interpolation 
6840 <= x < 6870; 	 y_228 =  2827.0000 + -0.4000x		interpolation 
6870 <= x < 6900; 	 y_229 =  -1295.0000 + 0.2000x		interpolation 
6900 <= x < 6930; 	 y_230 =  3535.0000 + -0.5000x		interpolation 
6930 <= x < 6960; 	 y_231 =  -3164.0000 + 0.4667x		interpolation 
6960 <= x < 6990; 	 y_232 =  -844.0000 + 0.1333x		interpolation 
6990 <= x < 7020; 	 y_233 =  4049.0000 + -0.5667x		interpolation 
7020 <= x < 7050; 	 y_234 =  -3673.0000 + 0.5333x		interpolation 
7050 <= x < 7080; 	 y_235 =  87.0000 + 0.0000x		interpolation 
7080 <= x < 7110; 	 y_236 =  -857.0000 + 0.1333x		interpolation 
7110 <= x < 7140; 	 y_237 =  328.0000 + -0.0333x		interpolation 
7140 <= x < 7170; 	 y_238 =  328.0000 + -0.0333x		interpolation 
7170 <= x < 7200; 	 y_239 =  -150.0000 + 0.0333x		interpolation 
7200 <= x < 7230; 	 y_240 =  330.0000 + -0.0333x		interpolation 
7230 <= x < 7260; 	 y_241 =  4427.0000 + -0.6000x		interpolation 
7260 <= x < 7290; 	 y_242 =  313.0000 + -0.0333x		interpolation 
7290 <= x < 7320; 	 y_243 =  -3818.0000 + 0.5333x		interpolation 
7320 <= x < 7350; 	 y_244 =  -646.0000 + 0.1000x		interpolation 
7350 <= x < 7380; 	 y_245 =  4744.0000 + -0.6333x		interpolation 
7380 <= x < 7410; 	 y_246 =  -4850.0000 + 0.6667x		interpolation 
7410 <= x < 7440; 	 y_247 =  5030.0000 + -0.6667x		interpolation 
7440 <= x < 7470; 	 y_248 =  -4146.0000 + 0.5667x		interpolation 
7470 <= x < 7500; 	 y_249 =  4071.0000 + -0.5333x		interpolation 
7500 <= x < 7530; 	 y_250 =  321.0000 + -0.0333x		interpolation 
7530 <= x < 7560; 	 y_251 =  70.0000 + 0.0000x		interpolation 
7560 <= x < 7590; 	 y_252 =  -4466.0000 + 0.6000x		interpolation 
7590 <= x < 7620; 	 y_253 =  -924.0000 + 0.1333x		interpolation 
7620 <= x < 7650; 	 y_254 =  1108.0000 + -0.1333x		interpolation 
7650 <= x < 7680; 	 y_255 =  4678.0000 + -0.6000x		interpolation 
7680 <= x < 7710; 	 y_256 =  -186.0000 + 0.0333x		interpolation 
7710 <= x < 7740; 	 y_257 =  -4812.0000 + 0.6333x		interpolation 
7740 <= x < 7770; 	 y_258 =  606.0000 + -0.0667x		interpolation 
7770 <= x < 7800; 	 y_259 =  4491.0000 + -0.5667x		interpolation 
7800 <= x < 7830; 	 y_260 =  331.0000 + -0.0333x		interpolation 
7830 <= x < 7860; 	 y_261 =  -4889.0000 + 0.6333x		interpolation 
7860 <= x < 7890; 	 y_262 =  351.0000 + -0.0333x		interpolation 
7890 <= x < 7920; 	 y_263 =  -438.0000 + 0.0667x		interpolation 
7920 <= x < 7950; 	 y_264 =  882.0000 + -0.1000x		interpolation 
7950 <= x < 7980; 	 y_265 =  -973.0000 + 0.1333x		interpolation 
7980 <= x < 8010; 	 y_266 =  3017.0000 + -0.3667x		interpolation 
8010 <= x < 8040; 	 y_267 =  2750.0000 + -0.3333x		interpolation 
8040 <= x < 8070; 	 y_268 =  874.0000 + -0.1000x		interpolation 
8070 <= x < 8100; 	 y_269 =  -6389.0000 + 0.8000x		interpolation 
8100 <= x < 8130; 	 y_270 =  91.0000 + 0.0000x		interpolation 
8130 <= x < 8160; 	 y_271 =  5782.0000 + -0.7000x		interpolation 
8160 <= x < 8190; 	 y_272 =  -746.0000 + 0.1000x		interpolation 
8190 <= x < 8220; 	 y_273 =  -5114.0000 + 0.6333x		interpolation 
8220 <= x < 8250; 	 y_274 =  1462.0000 + -0.1667x		interpolation 
8250 <= x < 8280; 	 y_275 =  6687.0000 + -0.8000x		interpolation 
8280 <= x < 8310; 	 y_276 =  -1317.0000 + 0.1667x		interpolation 
8310 <= x < 8340; 	 y_277 =  -6580.0000 + 0.8000x		interpolation 
8340 <= x < 8370; 	 y_278 =  926.0000 + -0.1000x		interpolation 
8370 <= x < 8400; 	 y_279 =  5390.0000 + -0.6333x		interpolation 
8400 <= x < 8430; 	 y_280 =  350.0000 + -0.0333x		interpolation 
8430 <= x < 8460; 	 y_281 =  -6956.0000 + 0.8333x		interpolation 
8460 <= x < 8490; 	 y_282 =  1504.0000 + -0.1667x		interpolation 
8490 <= x < 8520; 	 y_283 =  5183.0000 + -0.6000x		interpolation 
8520 <= x < 8550; 	 y_284 =  -497.0000 + 0.0667x		interpolation 
8550 <= x < 8580; 	 y_285 =  -5627.0000 + 0.6667x		interpolation 
8580 <= x < 8610; 	 y_286 =  2381.0000 + -0.2667x		interpolation 
8610 <= x < 8640; 	 y_287 =  4103.0000 + -0.4667x		interpolation 
8640 <= x < 8670; 	 y_288 =  71.0000 + 0.0000x		interpolation 
8670 <= x < 8700; 	 y_289 =  360.0000 + -0.0333x		interpolation 
8700 <= x < 8730; 	 y_290 =  -800.0000 + 0.1000x		interpolation 
8730 <= x < 8760; 	 y_291 =  -4292.0000 + 0.5000x		interpolation 
8760 <= x < 8790; 	 y_292 =  1840.0000 + -0.2000x		interpolation 
8790 <= x < 8820; 	 y_293 =  -1969.0000 + 0.2333x		interpolation 
8820 <= x < 8850; 	 y_294 =  677.0000 + -0.0667x		interpolation 
8850 <= x < 8880; 	 y_295 =  5102.0000 + -0.5667x		interpolation 
8880 <= x < 8910; 	 y_296 =  -818.0000 + 0.1000x		interpolation 
8910 <= x < 8940; 	 y_297 =  -4976.0000 + 0.5667x		interpolation 
8940 <= x < 8970; 	 y_298 =  2474.0000 + -0.2667x		interpolation 
8970 <= x < 9000; 	 y_299 =  -2908.0000 + 0.3333x		interpolation 
9000 <= x < 9030; 	 y_300 =  1592.0000 + -0.1667x		interpolation 
9030 <= x < 9060; 	 y_301 =  6709.0000 + -0.7333x		interpolation 
9060 <= x < 9090; 	 y_302 =  -1747.0000 + 0.2000x		interpolation 
9090 <= x < 9120; 	 y_303 =  -5989.0000 + 0.6667x		interpolation 
9120 <= x < 9150; 	 y_304 =  2827.0000 + -0.3000x		interpolation 
9150 <= x < 9180; 	 y_305 =  3742.0000 + -0.4000x		interpolation 
9180 <= x < 9210; 	 y_306 =  -5132.0000 + 0.5667x		interpolation 
9210 <= x < 9240; 	 y_307 =  7148.0000 + -0.7667x		interpolation 
9240 <= x < 9270; 	 y_308 =  -5788.0000 + 0.6333x		interpolation 
9270 <= x < 9300; 	 y_309 =  83.0000 + 0.0000x		interpolation 
9300 <= x < 9330; 	 y_310 =  -847.0000 + 0.1000x		interpolation 
9330 <= x < 9360; 	 y_311 =  708.0000 + -0.0667x		interpolation 
9360 <= x < 9390; 	 y_312 =  84.0000 + 0.0000x		interpolation 
9390 <= x < 9420; 	 y_313 =  4779.0000 + -0.5000x		interpolation 
9420 <= x < 9450; 	 y_314 =  -5897.0000 + 0.6333x		interpolation 
9450 <= x < 9480; 	 y_315 =  1978.0000 + -0.2000x		interpolation 
9480 <= x < 9510; 	 y_316 =  -1814.0000 + 0.2000x		interpolation 
9510 <= x < 9540; 	 y_317 =  2624.0000 + -0.2667x		interpolation 
9540 <= x < 9570; 	 y_318 =  -1192.0000 + 0.1333x		interpolation 
9570 <= x < 9600; 	 y_319 =  -1511.0000 + 0.1667x		interpolation 
9600 <= x < 9630; 	 y_320 =  3289.0000 + -0.3333x		interpolation 
9630 <= x < 9660; 	 y_321 =  -3452.0000 + 0.3667x		interpolation 
9660 <= x < 9690; 	 y_322 =  1056.0000 + -0.1000x		interpolation 
9690 <= x < 9720; 	 y_323 =  5901.0000 + -0.6000x		interpolation 
9720 <= x < 9750; 	 y_324 =  -1227.0000 + 0.1333x		interpolation 
9750 <= x < 9780; 	 y_325 =  1048.0000 + -0.1000x		interpolation 
9780 <= x < 9810; 	 y_326 =  -908.0000 + 0.1000x		interpolation 
9810 <= x < 9840; 	 y_327 =  -5159.0000 + 0.5333x		interpolation 
9840 <= x < 9870; 	 y_328 =  5337.0000 + -0.5333x		interpolation 
9870 <= x < 9900; 	 y_329 =  1060.0000 + -0.1000x		interpolation 
9900 <= x < 9930; 	 y_330 =  -1250.0000 + 0.1333x		interpolation 
