0 <= x < 18870; y = 31.406704 + 0.010532x; least-squares 
 0 <= x < 30; 	 y_0 =  71.0000 + -0.4333x		interpolation 
30 <= x < 60; 	 y_1 =  61.0000 + -0.1000x		interpolation 
60 <= x < 90; 	 y_2 =  13.0000 + 0.7000x		interpolation 
90 <= x < 120; 	 y_3 =  85.0000 + -0.1000x		interpolation 
120 <= x < 150; 	 y_4 =  53.0000 + 0.1667x		interpolation 
150 <= x < 180; 	 y_5 =  103.0000 + -0.1667x		interpolation 
180 <= x < 210; 	 y_6 =  91.0000 + -0.1000x		interpolation 
210 <= x < 240; 	 y_7 =  154.0000 + -0.4000x		interpolation 
240 <= x < 270; 	 y_8 =  -70.0000 + 0.5333x		interpolation 
270 <= x < 300; 	 y_9 =  101.0000 + -0.1000x		interpolation 
300 <= x < 330; 	 y_10 =  31.0000 + 0.1333x		interpolation 
330 <= x < 360; 	 y_11 =  174.0000 + -0.3000x		interpolation 
360 <= x < 390; 	 y_12 =  150.0000 + -0.2333x		interpolation 
390 <= x < 420; 	 y_13 =  59.0000 + 0.0000x		interpolation 
420 <= x < 450; 	 y_14 =  -151.0000 + 0.5000x		interpolation 
450 <= x < 480; 	 y_15 =  194.0000 + -0.2667x		interpolation 
480 <= x < 510; 	 y_16 =  194.0000 + -0.2667x		interpolation 
510 <= x < 540; 	 y_17 =  24.0000 + 0.0667x		interpolation 
540 <= x < 570; 	 y_18 =  114.0000 + -0.1000x		interpolation 
570 <= x < 600; 	 y_19 =  0.0000 + 0.1000x		interpolation 
600 <= x < 630; 	 y_20 =  120.0000 + -0.1000x		interpolation 
630 <= x < 660; 	 y_21 =  36.0000 + 0.0333x		interpolation 
660 <= x < 690; 	 y_22 =  -316.0000 + 0.5667x		interpolation 
690 <= x < 720; 	 y_23 =  443.0000 + -0.5333x		interpolation 
720 <= x < 750; 	 y_24 =  -349.0000 + 0.5667x		interpolation 
750 <= x < 780; 	 y_25 =  451.0000 + -0.5000x		interpolation 
780 <= x < 810; 	 y_26 =  -277.0000 + 0.4333x		interpolation 
810 <= x < 840; 	 y_27 =  398.0000 + -0.4000x		interpolation 
840 <= x < 870; 	 y_28 =  -274.0000 + 0.4000x		interpolation 
870 <= x < 900; 	 y_29 =  248.0000 + -0.2000x		interpolation 
900 <= x < 930; 	 y_30 =  -112.0000 + 0.2000x		interpolation 
930 <= x < 960; 	 y_31 =  167.0000 + -0.1000x		interpolation 
960 <= x < 990; 	 y_32 =  455.0000 + -0.4000x		interpolation 
990 <= x < 1020; 	 y_33 =  -271.0000 + 0.3333x		interpolation 
1020 <= x < 1050; 	 y_34 =  477.0000 + -0.4000x		interpolation 
1050 <= x < 1080; 	 y_35 =  -573.0000 + 0.6000x		interpolation 
1080 <= x < 1110; 	 y_36 =  687.0000 + -0.5667x		interpolation 
1110 <= x < 1140; 	 y_37 =  -201.0000 + 0.2333x		interpolation 
1140 <= x < 1170; 	 y_38 =  -49.0000 + 0.1000x		interpolation 
1170 <= x < 1200; 	 y_39 =  263.0000 + -0.1667x		interpolation 
1200 <= x < 1230; 	 y_40 =  263.0000 + -0.1667x		interpolation 
1230 <= x < 1260; 	 y_41 =  -352.0000 + 0.3333x		interpolation 
1260 <= x < 1290; 	 y_42 =  404.0000 + -0.2667x		interpolation 
1290 <= x < 1320; 	 y_43 =  -69.0000 + 0.1000x		interpolation 
1320 <= x < 1350; 	 y_44 =  -333.0000 + 0.3000x		interpolation 
1350 <= x < 1380; 	 y_45 =  -63.0000 + 0.1000x		interpolation 
1380 <= x < 1410; 	 y_46 =  489.0000 + -0.3000x		interpolation 
1410 <= x < 1440; 	 y_47 =  -310.0000 + 0.2667x		interpolation 
1440 <= x < 1470; 	 y_48 =  410.0000 + -0.2333x		interpolation 
1470 <= x < 1500; 	 y_49 =  -374.0000 + 0.3000x		interpolation 
1500 <= x < 1530; 	 y_50 =  976.0000 + -0.6000x		interpolation 
1530 <= x < 1560; 	 y_51 =  58.0000 + 0.0000x		interpolation 
1560 <= x < 1590; 	 y_52 =  58.0000 + 0.0000x		interpolation 
1590 <= x < 1620; 	 y_53 =  -843.0000 + 0.5667x		interpolation 
1620 <= x < 1650; 	 y_54 =  993.0000 + -0.5667x		interpolation 
1650 <= x < 1680; 	 y_55 =  3.0000 + 0.0333x		interpolation 
1680 <= x < 1710; 	 y_56 =  59.0000 + 0.0000x		interpolation 
1710 <= x < 1740; 	 y_57 =  401.0000 + -0.2000x		interpolation 
1740 <= x < 1770; 	 y_58 =  -295.0000 + 0.2000x		interpolation 
1770 <= x < 1800; 	 y_59 =  118.0000 + -0.0333x		interpolation 
1800 <= x < 1830; 	 y_60 =  -842.0000 + 0.5000x		interpolation 
1830 <= x < 1860; 	 y_61 =  1049.0000 + -0.5333x		interpolation 
1860 <= x < 1890; 	 y_62 =  -67.0000 + 0.0667x		interpolation 
1890 <= x < 1920; 	 y_63 =  -1012.0000 + 0.5667x		interpolation 
1920 <= x < 1950; 	 y_64 =  1100.0000 + -0.5333x		interpolation 
1950 <= x < 1980; 	 y_65 =  -655.0000 + 0.3667x		interpolation 
1980 <= x < 2010; 	 y_66 =  -61.0000 + 0.0667x		interpolation 
2010 <= x < 2040; 	 y_67 =  6.0000 + 0.0333x		interpolation 
2040 <= x < 2070; 	 y_68 =  1162.0000 + -0.5333x		interpolation 
2070 <= x < 2100; 	 y_69 =  127.0000 + -0.0333x		interpolation 
2100 <= x < 2130; 	 y_70 =  -83.0000 + 0.0667x		interpolation 
2130 <= x < 2160; 	 y_71 =  59.0000 + 0.0000x		interpolation 
2160 <= x < 2190; 	 y_72 =  203.0000 + -0.0667x		interpolation 
2190 <= x < 2220; 	 y_73 =  -1111.0000 + 0.5333x		interpolation 
2220 <= x < 2250; 	 y_74 =  221.0000 + -0.0667x		interpolation 
2250 <= x < 2280; 	 y_75 =  1046.0000 + -0.4333x		interpolation 
2280 <= x < 2310; 	 y_76 =  58.0000 + 0.0000x		interpolation 
2310 <= x < 2340; 	 y_77 =  135.0000 + -0.0333x		interpolation 
2340 <= x < 2370; 	 y_78 =  -1425.0000 + 0.6333x		interpolation 
2370 <= x < 2400; 	 y_79 =  234.0000 + -0.0667x		interpolation 
2400 <= x < 2430; 	 y_80 =  1274.0000 + -0.5000x		interpolation 
2430 <= x < 2460; 	 y_81 =  -994.0000 + 0.4333x		interpolation 
2460 <= x < 2490; 	 y_82 =  -92.0000 + 0.0667x		interpolation 
2490 <= x < 2520; 	 y_83 =  157.0000 + -0.0333x		interpolation 
2520 <= x < 2550; 	 y_84 =  73.0000 + 0.0000x		interpolation 
2550 <= x < 2580; 	 y_85 =  -182.0000 + 0.1000x		interpolation 
2580 <= x < 2610; 	 y_86 =  1538.0000 + -0.5667x		interpolation 
2610 <= x < 2640; 	 y_87 =  -1246.0000 + 0.5000x		interpolation 
2640 <= x < 2670; 	 y_88 =  426.0000 + -0.1333x		interpolation 
2670 <= x < 2700; 	 y_89 =  -375.0000 + 0.1667x		interpolation 
2700 <= x < 2730; 	 y_90 =  255.0000 + -0.0667x		interpolation 
2730 <= x < 2760; 	 y_91 =  1347.0000 + -0.4667x		interpolation 
2760 <= x < 2790; 	 y_92 =  -677.0000 + 0.2667x		interpolation 
2790 <= x < 2820; 	 y_93 =  904.0000 + -0.3000x		interpolation 
2820 <= x < 2850; 	 y_94 =  -600.0000 + 0.2333x		interpolation 
2850 <= x < 2880; 	 y_95 =  825.0000 + -0.2667x		interpolation 
2880 <= x < 2910; 	 y_96 =  -39.0000 + 0.0333x		interpolation 
2910 <= x < 2940; 	 y_97 =  58.0000 + 0.0000x		interpolation 
2940 <= x < 2970; 	 y_98 =  -40.0000 + 0.0333x		interpolation 
2970 <= x < 3000; 	 y_99 =  -1624.0000 + 0.5667x		interpolation 
3000 <= x < 3030; 	 y_100 =  1876.0000 + -0.6000x		interpolation 
3030 <= x < 3060; 	 y_101 =  -1154.0000 + 0.4000x		interpolation 
3060 <= x < 3090; 	 y_102 =  988.0000 + -0.3000x		interpolation 
3090 <= x < 3120; 	 y_103 =  -1381.0000 + 0.4667x		interpolation 
3120 <= x < 3150; 	 y_104 =  283.0000 + -0.0667x		interpolation 
3150 <= x < 3180; 	 y_105 =  1648.0000 + -0.5000x		interpolation 
3180 <= x < 3210; 	 y_106 =  -366.0000 + 0.1333x		interpolation 
3210 <= x < 3240; 	 y_107 =  918.0000 + -0.2667x		interpolation 
3240 <= x < 3270; 	 y_108 =  -702.0000 + 0.2333x		interpolation 
3270 <= x < 3300; 	 y_109 =  -1792.0000 + 0.5667x		interpolation 
3300 <= x < 3330; 	 y_110 =  628.0000 + -0.1667x		interpolation 
3330 <= x < 3360; 	 y_111 =  1738.0000 + -0.5000x		interpolation 
3360 <= x < 3390; 	 y_112 =  -1622.0000 + 0.5000x		interpolation 
3390 <= x < 3420; 	 y_113 =  -153.0000 + 0.0667x		interpolation 
3420 <= x < 3450; 	 y_114 =  531.0000 + -0.1333x		interpolation 
3450 <= x < 3480; 	 y_115 =  1336.0000 + -0.3667x		interpolation 
3480 <= x < 3510; 	 y_116 =  -56.0000 + 0.0333x		interpolation 
3510 <= x < 3540; 	 y_117 =  646.0000 + -0.1667x		interpolation 
3540 <= x < 3570; 	 y_118 =  -652.0000 + 0.2000x		interpolation 
3570 <= x < 3600; 	 y_119 =  657.0000 + -0.1667x		interpolation 
3600 <= x < 3630; 	 y_120 =  297.0000 + -0.0667x		interpolation 
3630 <= x < 3660; 	 y_121 =  -1518.0000 + 0.4333x		interpolation 
3660 <= x < 3690; 	 y_122 =  922.0000 + -0.2333x		interpolation 
3690 <= x < 3720; 	 y_123 =  307.0000 + -0.0667x		interpolation 
3720 <= x < 3750; 	 y_124 =  -65.0000 + 0.0333x		interpolation 
3750 <= x < 3780; 	 y_125 =  -1815.0000 + 0.5000x		interpolation 
3780 <= x < 3810; 	 y_126 =  1965.0000 + -0.5000x		interpolation 
3810 <= x < 3840; 	 y_127 =  -194.0000 + 0.0667x		interpolation 
3840 <= x < 3870; 	 y_128 =  318.0000 + -0.0667x		interpolation 
3870 <= x < 3900; 	 y_129 =  -2262.0000 + 0.6000x		interpolation 
3900 <= x < 3930; 	 y_130 =  1118.0000 + -0.2667x		interpolation 
3930 <= x < 3960; 	 y_131 =  1642.0000 + -0.4000x		interpolation 
3960 <= x < 3990; 	 y_132 =  190.0000 + -0.0333x		interpolation 
3990 <= x < 4020; 	 y_133 =  -2470.0000 + 0.6333x		interpolation 
4020 <= x < 4050; 	 y_134 =  1952.0000 + -0.4667x		interpolation 
4050 <= x < 4080; 	 y_135 =  602.0000 + -0.1333x		interpolation 
4080 <= x < 4110; 	 y_136 =  -758.0000 + 0.2000x		interpolation 
4110 <= x < 4140; 	 y_137 =  886.0000 + -0.2000x		interpolation 
4140 <= x < 4170; 	 y_138 =  -1460.0000 + 0.3667x		interpolation 
4170 <= x < 4200; 	 y_139 =  -626.0000 + 0.1667x		interpolation 
4200 <= x < 4230; 	 y_140 =  1754.0000 + -0.4000x		interpolation 
4230 <= x < 4260; 	 y_141 =  485.0000 + -0.1000x		interpolation 
4260 <= x < 4290; 	 y_142 =  -1077.0000 + 0.2667x		interpolation 
4290 <= x < 4320; 	 y_143 =  -1220.0000 + 0.3000x		interpolation 
4320 <= x < 4350; 	 y_144 =  796.0000 + -0.1667x		interpolation 
4350 <= x < 4380; 	 y_145 =  1956.0000 + -0.4333x		interpolation 
4380 <= x < 4410; 	 y_146 =  -1402.0000 + 0.3333x		interpolation 
4410 <= x < 4440; 	 y_147 =  -520.0000 + 0.1333x		interpolation 
4440 <= x < 4470; 	 y_148 =  1700.0000 + -0.3667x		interpolation 
4470 <= x < 4500; 	 y_149 =  -2025.0000 + 0.4667x		interpolation 
4500 <= x < 4530; 	 y_150 =  2325.0000 + -0.5000x		interpolation 
4530 <= x < 4560; 	 y_151 =  -91.0000 + 0.0333x		interpolation 
4560 <= x < 4590; 	 y_152 =  -1915.0000 + 0.4333x		interpolation 
4590 <= x < 4620; 	 y_153 =  2369.0000 + -0.5000x		interpolation 
4620 <= x < 4650; 	 y_154 =  59.0000 + 0.0000x		interpolation 
4650 <= x < 4680; 	 y_155 =  59.0000 + 0.0000x		interpolation 
4680 <= x < 4710; 	 y_156 =  -409.0000 + 0.1000x		interpolation 
4710 <= x < 4740; 	 y_157 =  847.0000 + -0.1667x		interpolation 
4740 <= x < 4770; 	 y_158 =  -2629.0000 + 0.5667x		interpolation 
4770 <= x < 4800; 	 y_159 =  2459.0000 + -0.5000x		interpolation 
4800 <= x < 4830; 	 y_160 =  -421.0000 + 0.1000x		interpolation 
4830 <= x < 4860; 	 y_161 =  -2514.0000 + 0.5333x		interpolation 
4860 <= x < 4890; 	 y_162 =  2994.0000 + -0.6000x		interpolation 
4890 <= x < 4920; 	 y_163 =  -2222.0000 + 0.4667x		interpolation 
4920 <= x < 4950; 	 y_164 =  -90.0000 + 0.0333x		interpolation 
4950 <= x < 4980; 	 y_165 =  2715.0000 + -0.5333x		interpolation 
4980 <= x < 5010; 	 y_166 =  -273.0000 + 0.0667x		interpolation 
5010 <= x < 5040; 	 y_167 =  -2611.0000 + 0.5333x		interpolation 
5040 <= x < 5070; 	 y_168 =  2597.0000 + -0.5000x		interpolation 
